abnormal,অস্বাভাবিক
dislike,অপছন্দ
disliked,ঘৃণিত
dislikes,অপছন্দ
disliking,অনভিলাষী
dislocated,স্থানচু্যত
disloyal,বিশ্বাসঘাতক
disloyalty,বিশ্বাসঘাতকতা
dismal,অন্ধকারময়
dismally,ফল দিতে পারেনি
dismay,আতঙ্ক
dismayed,ভীত
dismaying,আতঙ্কে
dismissive,উড়িয়ে
disobedience,অবাধ্যতা
disobedient,অবাধ্য
disobey,অমান্য করা
disorder,ব্যাধি
disordered,নৈরাকার
disorderly,অগোছালো
disorganized,বিশৃঙ্খল
disorient,চিনিতে না দেত্তয়া
disoriented,বিচলিত
disown,ত্যাজ্য করা
disparage,অবজ্ঞা করা
disparaging,অপমানজনক
dispensable,অদরকারী
dispirit,নিরাশ করা
displace,পদচু্যত করা
displaced,বাস্তুচ্যুত
displease,বিরক্ত করা
displeased,অসন্তুষ্ট
displeasing,অসন্তুষ্ট
displeasure,অপ্রসন্নতা
disproportionate,অনুপাতহীন
disprove,খণ্ডন করা
disputable,সন্দেহজনক
dispute,বিতর্ক
disputed,বিতর্কিত
disquiet,অশান্তিকর
disquieting,অশান্তিকর
disregard,উপেক্ষা
disreputable,কলঙ্কিত
disrepute,দুর্নাম
disrespect,অসম্মান
disrespectful,অনার্য
disrespectfully,বিছনায়
disrespecting,অসম্মান
disrupt,চূর্ণবিচূর্ণ করা
disruption,ভাঙ্গন
disruptive,সংহতিনাশক
dissatisfaction,অসন্তোষ
dissatisfactory,অসন্তোষজনক
dissatisfied,অসন্তুষ্ট
dissatisfy,অখুশি করা
dissemble,ছদ্মবেশ ধারণ করা
dissembler,ভণ্ড
dissension,মতদ্বৈধ
dissent,ভিন্নমত পোষণ করা
dissenter,অননুগামী ব্যক্তি
dissention,মতবিরোধ
disservice,অপকার
dissidence,মতদ্বৈধ
dissident,ভিন্নমতাবলন্বী
dissidents,বিদ্রোহীদের
dissolute,চরিত্রহীন
dissolution,দ্রবণ
dissonance,অনৈক্য
dissonant,বেসুরো
dissuade,কাউকে ফিরিয়ে আনার
distaste,অরূচি
distasteful,অরূচিকর
distort,বিকৃত করা
distorted,বিকৃত
distortion,নড়ন
distorts,বিকৃত
distract,বিভ্রান্ত করা
distracting,বিক্ষেপী
distraction,ক্ষোভ
distraught,বিক্ষিপ্ত
distress,মর্মপীড়া
distressed,পীড়িত
distressing,পীড়াদায়ক
distressingly,মর্মভেদীভাবে
distrust,অবিশ্বাস
distrustful,আস্থাহীন
disturb,ঘাঁটান
disturbance,ঝামেলা
disturbed,সংবিগ্ন
disturbing,ধকল
disturbingly,বিঘ্নকারী
disunity,অনৈক্য
divergent,বিপথগামী
divisive,বিভেদ সৃষ্টিকর
dizzy,হতবুদ্ধি
doddering,জরাগ্রস্ত
dogged,জিদি
dogmatic,মতবাদ-সংক্রান্ত
doldrums,মনমরা ভাব
domineer,শাসন ​​করা
domineering,উদ্ধত
doom,নিয়তি
doomed,দণ্ডপ্রাপ্ত
doomsday,শেষবিচারের দিন
dope,আফিম
doubt,সন্দেহ
doubtful,সন্দিহান
doubtfully,অনিশ্চিতভাবে
doubts,সন্দেহ
douchebag,অপদার্থ
downbeat,নৈরাশ্যবাদী
downcast,হতাশ
downer,গরীবের
downfall,সম্পূর্ণ বিনাশ
downfallen,ছারখার
downgrade,ডাউনগ্রেড
downhearted,হতাশ
downhill,উতরাই
downside,downside হয়
downsides,মূল্যবান
downturn,মন্দা
downturns,মন্দার
drab,বেশ্যা
draconian,সংক্রান্ত প্রচুর কড়া
drag,টানা
dragged,টেনেছেন
dragging,টেনে
dragoon,বাধ্য করা
drain,ড্রেন
drained,আপীত
draining,পাড়ে
drains,নির্গমন
drastic,প্রচণ্ড
drastically,আয়তন বহুলাংশে
drawback,অপূর্ণতা
drawbacks,অপূর্ণতা
dread,ভয়
dreadful,ভয়ঙ্কর
dreary,বিষণ্ণ
dripping,ক্ষরণ
drones,ড্রোন
droop,আনতি
dropout,বাদ পরা
dropouts,ঝরে পড়া
dropout,বাদ পরা
dropouts,ঝরে পড়া
drought,খরা
drowning,ডুবন্ত
drunk,মাতাল
drunkard,মাতাল
drunken,মাতাল
dubious,সন্দেহজনক
dud,জীর্ণ পোশাক
dull,নিস্তেজ
dullard,উদো
dumb,মূক
dumbfound,বিহ্বল করা
dump,মনমরা ভাব
dumped,ডাম্প
dumping,ডাম্পিং
dumps,ডাম্প
dunce,কেবলরাম
dungeon,অন্ধকূপ
dupe,প্রতারিত ব্যক্তি
dust,ধূলিকণা
dusty,ধূলিমলিন
dwindling,কমে
eccentric,অদ্ভুতস্বভাব
eccentricity,ছিট
effigy,প্রতিকৃতি
effrontery,প্রগল্ভতা
egocentric,অহংভাবপূর্ণ
egomania,মাত্রাধিক অহমিকা
egotism,অস্মিতা
egotistical,আত্মম্ভরি
egregious,গুরুতর
egregiously,গুরুতরভাবে
elimination,বর্জন
emaciated,কৃশ
emasculate,পুরুষত্বহীন
embarrass,বিজড়িত করা
embarrassing,হতবুদ্ধিকর
embarrassment,বিমূঢ়তা
embattled,রেডিও তেহরান
embroil,পেঁচান
embroiled,জড়িয়ে
embroilment,বিরক্তি
emergency,জরুরি অবস্থা
emphatic,সতেজ
emphatically,সজোরে
emptiness,শূন্যতা
encroach,সীমালঙ্ঘন করা
encroachment,অভিযান
endanger,বিপন্ন করা
enemies,শত্রুদের
enemy,শত্রু
enervate,শক্তিহীন করা
enfeeble,শক্তিহীন করা
engulf,ঢালা
enjoin,নিষেধ করা
enmity,শত্রুতা
enrage,ক্ষিপ্ত করা
enraged,ক্রুদ্ধ
enraging,উন্মাদন
enslave,ক্রীতদাস করা
entangle,ফাঁদে ফেলা
entanglement,জড়াইয়া পড়া
entrap,ফাঁদে ধরা
envious,পরশ্রীকাতর
epidemic,মহামারী
equivocal,সন্দেহজনক
erase,নিশ্চিহ্ন করা
erode,ক্ষয় করা
erodes,অবক্ষয় ঘটায়
erosion,ক্ষয়
err,ভ্রম করা
errant,ভ্রমণরত
erratic,লক্ষ্যভ্রষ্ট
erroneous,ভ্রান্ত
erroneously,ভ্রান্তভাবে
error,এরর
errors,ত্রুটি
eruptions,অগ্ন্যুত্পাতের
escapade,পলায়ন
eschew,পরিহার করা
estranged,সঙ্গে পারিবারিকভাবে বিছিন্ন
evade,টালা
evasion,ছল
evasive,অসরল
evil,মন্দ
evildoer,দুর্বৃত্ত
evils,খারাপ
eviscerate,নাডভুডি বাহির করিয়া ফেলা
exacerbate,বর্ধিত করা
exaggerate,ফলান
exaggeration,অত্যুক্তি
exasperate,ক্রুদ্ধ করা
exasperating,ক্রোধজনক
exasperation,ক্রোধ
excessive,অত্যধিক
excessively,বেজায়
exclusion,বর্জন
excoriate,কঠোর সমালোচনা করা
excruciating,মর্মযন্ত্রণাপূর্ণ
excuse,ছুতা
excuses,অজুহাত
execrate,ঘৃণা করা
exhaust,এক্সস্ট
exhausted,ক্লান্ত
exhaustion,অবসাদ
exhausts,নিষ্কাশন
exhort,উত্সাহিত করা
exile,নির্বাসন
exorbitant,গলাকাটা
exorbitantly,অতিরিক্ত
expel,ঠেলা
expensive,ব্যয়বহুল
expire,নি: শ্বাস ফেলা
expired,মেয়াদোত্তীর্ণ
explode,বিস্ফোরিত করা
exploit,কাজে লাগান
exploitation,শোষণ
explosive,বিস্ফোরক
expropriate,দখলচু্যত করা
expropriation,বাজেয়াপ্তকরণ
expunge,মুছিয়া ফেলা
exterminate,উপড়াইয়া ফেলা
extermination,উন্মূলন
extinguish,নিভান
extort,বলপ্রয়োগ আদায় করা
extortion,চাঁদাবাজি
extraneous,বিদেশী
extravagance,অপব্যয়
extravagant,অসংযত
extremism,চরমপন্থা
extremist,চরমপন্থী
extremists,চরমপন্থীরা
fabricate,নির্মাণ করা
fabrication,জালিয়াতি
facetious,রসিক
facetiously,ফূর্তিতে
fail,ব্যর্থ
failed,ব্যর্থ হয়েছে
failing,ব্যর্থতা
fails,ব্যর্থ
failure,ব্যর্থতা
failures,ব্যর্থতা
faint,ভীরু
fainthearted,কাঠির মত
faithless,অবিশ্বস্ত
fake,নকল
fall,পড়া
fallacious,প্রতারণাপূর্ণ
fallacy,হেত্বাভাস
fallen,পতিত
falling,পতনশীল
fallout,বিপর্যয়
falls,ঝরনা
FALSE,মিথ্যা
falsehood,মিথ্যা
falsely,মিথ্যাভাবে
falsify,মিথ্যা বর্ণনা করা
falter,তোতলান
faltered,বাধাপ্রাপ্ত হয়েছে
famine,দুর্ভিক্ষ
famished,ক্ষুধাকাতর
fanatic,ধর্মান্ধ
fanatical,ধর্মান্ধ
fanaticism,ধর্মান্ধতা
fanatics,ধর্মান্ধদের
fanciful,কল্পনাপ্রসূত
farfetched,অসম্ভব বলে
farce,প্রহসন
farcical,হাস্যকর
farfetched,অসম্ভব বলে
fascism,ফ্যাসিবাদ
fascist,ফ্যাসিস্ট
fastidious,খুঁতখুঁতে
fat,চর্বি
fatcat,লোভী মানুষ
fatal,মারাত্মক
fatalistic,অদৃষ্টবাদী
fatally,মারাত্মকভাবে
fateful,অবশ্যম্ভাবী
fathomless,অতল
fatigue,অবসাদ
fatigued,অবসন্ন
fatty,মোটা
fatuity,জাড্য
fatuous,বোকা
fault,দোষ
faults,ফল্ট
faulty,ত্রুটিপূর্ণ
fear,ভয়
fearful,ভীতিজনক
fearfully,সশঙ্কে
fears,ভয়
fearsome,ভয়ঙ্কর
feckless,অসহায়
feeble,দুর্বল
feign,ছল করা
feint,কৃত্রিম আক্রমণ
fell,খোলস
felon,নৃশংস
felonious,অসৎ
ferocity,হিংস্রতা
fetid,পূতি
fever,জ্বর
feverish,জ্বরাক্রান্ত
fevers,জ্বর
fiasco,চরম ব্যর্থতা
fib,গুল
fibber,গুলবাজ
fickle,চপল
fiction,উপন্যাস
fictional,কল্পিত
fictitious,কল্পিত
fidget,উসখুস করা
fidgety,অস্থির
fiend,পাষণ্ড
fiendish,পৈশাচিক
fierce,হিংস্র
filth,অশ্লীলতা
filthy,অকথ্য
finagle,প্রতারণা করা
finicky,খুঁতখুঁতে
fissures,ফাটল
fist,মুষ্টি
flabbergast,হতবুদ্ধি করা
flabbergasted,স্তম্ভিত
flagging,ঝিমুনি
flagrant,ঘোর
flair,বিচারবুদ্ধি
flak,বিমানবিধ্বংসী কামান
flake,স্ফুলিঙ্গ
flaky,স্তরপূর্ণ
flare,বিস্তারণ
flares,অগ্নিতরঙ্গ
flatout,ফ্ল্যাট আউট
flaunt,বাতাসে দোলা
flaw,ত্রুটি
flawed,দ্বিধান্বিত
flaws,সংক্রান্ত ত্রুটিগুলি
flee,ভাগা
fleeing,পলায়নপর
fleer,উপহাস
flees,পালায়
fleeting,দ্রুতগামী
flicker,মিট্মিট্
flickering,ঝিকিমিকি
flighty,দ্রুতগামী
flimflam,বাজে ব্যাপার
flimsy,ক্ষীণ
flirt,ছিনাল
flirty,"flirty, লম্বা চুল"
floored,ধরাশায়ী
flounder,রাঘববোয়াল
flout,বিদ্রুপ
fluster,হৈচৈ
foe,শত্রু
fool,মূর্খ
fooled,বোকা বানানো
foolhardy,হঠকারী
foolish,নির্বোধ
foolishly,মূর্খতাপূর্ণভাবে
foolishness,নির্বুদ্ধিতা
forbid,নিষেধ করা
forbidden,নিষিদ্ধ
forbidding,ভীষণদর্শন
forceful,জবরদস্ত
foreboding,পূর্বলক্ষণ
forfeit,বাজেয়াপ্ত
forged,নকল
forgetful,ভুলো
forgetfully,ভুল বশে
forgetfulness,বিস্মৃতি
forlorn,অবহেলিত
forlornly,বউমা কই
forsake,পরিত্যাগ করা
forsaken,পরিত্যক্ত
forswear,মিথ্যা শপথ করা
foul,নোংরা
foully,ঘৃণিতভাবে
foulness,নোংরামি
fractious,ঝগড়াটে
fracture,ফাটল
fragile,ভঙ্গুর
fragmented,খণ্ডিত
frail,ভঙ্গুর
frantic,ক্ষিপ্ত
frantically,উন্মত্তবৎ
fraud,প্রতারণা
fraudulent,প্রতারণাপূর্ণ
fraught,পরিপূর্ণ
frazzle,শ্রান্তি
freak,খামখেয়াল
freakish,আবদারে
freaks,freaks হয়
freeze,বরফে পরিণত করা
freezes,স্থির
freezing,জমা
frenetic,ফ্যানাটিক
frenzied,প্রমত্ত
frenzy,উন্মত্ততা
fret,জ্বালাতন
fretful,খিট্খিটে
friction,ঘর্ষণ
fried,ভাজা
frigging,অভিশপ্ত
fright,ভয়
frighten,আতঙ্কিত
frightening,ভয়ানক
frighteningly,প্রচন্ড
frightful,ভয়ঙ্কর
frightfully,সাঙ্ঘাতিক ভাবে
frigid,হিমশীতল
frost,তুষার
frown,ভ্রূকুটি
froze,নিথর হয়েছে
frozen,হিমায়িত
fruitless,নিষ্ফল
frustrate,হতাশ
frustrated,হতাশ
frustrates,বিফল
frustrating,হতাশাজনক
frustration,পরাজয়
frustrations,বিরক্তির
fudge,অর্থহীন
fugitive,পলাতক
fulminate,বিস্ফোরিত হত্তয়া
fumble,এলোমেলো কথা বলা
fume,ধূম্র
fumes,ধোঁয়া
fundamentalism,অন্ধবিশ্বাস
funky,ভয়াতুর
funnily,অদ্ভুতভাবে
funny,হাস্যকর
furious,অগ্নিশর্মা
furiously,উন্মত্তবৎ
furor,উন্মাদনা
fury,উন্মত্ততা
fuss,হইচই
fussy,ব্যস্তবাগীশ
fustigate,মুগুরপেটা করা
fusty,ভেপসা
futile,বৃথা
futility,নিরর্থকতা
fuzzy,ঝাপসা
fuck,যৌনসঙ্গম
gaff,অর্থহীন কিছু
gaffe,অসমীচীন কাজ
gainsay,প্রতিবাদ করা
gall,পিত্ত
galling,পীড়াদায়ক
gangster,গুণ্ডা
gape,মুখব্যাদান
garbage,আবর্জনা
garish,চটকদার
gasp,খাবি
gauche,আনাড়ি
gaudy,জাঁকাল
gawk,জবুথবু ব্যক্তি
gawky,জবুথবু
geezer,অদ্ভুত বুড়ো লোক
genocide,গণহত্যা
getrich,ধনী হও
ghastly,ভয়ানক
ghetto,শহরে ইন্থর্দিপাড়া
gibber,অস্পষ্ট আত্তয়াজ করা
gibberish,অর্থহীন কথা
gibe,উপহাস
giddy,ঘূর্ণায়মান
gimmick,প্রতারণাপূর্ণ কৌশল
gimmicks,চমক
gimmicky,প্রতারণামূলক
glare,একদৃষ্টি
glaringly,উজ্জ্বলরূপে
glib,সাবলীল
glibly,শতমুখে
glitch,সামান্য ত্রুটি
glitches,এবং glitches
gloom,বিষাদ
gloomy,মনমরা
glower,একদৃষ্টিতে তাকান
glum,বিষাদগ্রস্ত
glut,গোগ্রাসে গেলা
goad,অঙ্কুশ
goading,তাড়ন
godawful,ভয়াবহ দেবতা
goof,বোকা লোক
goofy,বোকা
goon,গণ্ডমূর্খ
gossip,পরচর্চা
graceless,অসৎ
gracelessly,লাবণ্যহীন
graft,ঘুস
grainy,দানাদার
grapple,কুস্তি করা
grate,ঝাঁঝরি
grating,কটু
gravely,গুরুত্বসহকারে
greasy,চর্বিযুক্ত
greed,ক্ষুধা
greedy,লোভী
grief,বিষাদ
grievance,নালিশের কারণ
grievances,ক্ষোভের
grieve,শোক করা
grieving,খিদ্যমান
grievous,দু: খজনক
grievously,হুড়মুড়
grim,ভয়ানক
grimace,ভেংচি
grind,চূর্ণনশব্দ
gripe,আঁকড়ান
gripes,পিত্তশূল বেদনা
grisly,ভয়াবহ
gritty,বালুকাময়
gross,স্থূল
grossly,প্রবলভাবে
grotesque,অদ্ভুত
grouch,অসন্তোষ প্রকাশ করা
grouchy,খিট্খিটে
groundless,ভিত্তিহীন
grouse,গোঙানি
growl,গোঁ গোঁ শব্দ করা
grudge,মনের ঝাল
grudges,অসন্তোষ
grudging,কৃপণ
grudgingly,অনিচ্ছায়
gruesome,ভয়ঙ্কর
gruff,বিষাদময়
grumble,নালিশ
grumpiest,রাগান্বিত
grumpy,ক্রুদ্ধ
guile,ছলনা
guilt,দোষ
guilty,দোষী
gullible,অতিসরল
hacks,হ্যাক
haggard,জীর্ণশীর্ণ
haggle,তর্কাতর্কি করা
hallucinate,অলীক কিছুর অস্তিতে বিশ্বাস জন্মান
hallucination,অমূলপ্রত্যক্ষ
hamper,ব্যাহত করা
hampered,ব্যাহত
handicapped,বিকলাঙ্গ
hang,ফাঁসি দেত্তয়া
hangs,হ্যাং
haphazard,এলোমেলো
hapless,অসুখী
harangue,বাগাড়ম্বরপূর্ণ বক্তৃতা
harass,হয়রান করা
harassed,উত্ত্যক্ত
harasses,হয়রানি
harassment,হয়রানি
harboring,পুষে রাখা
harbors,বন্দর
hard,কঠিন
hardhit,জোরে মার
hardliner,কট্টরপন্থী
hardball,হার্ডবল
harden,পাকান
hardened,কঠিনীভূত
hardheaded,শক্ত নেতৃত্বে
hardhearted,নিষ্ঠুর
hardliner,কট্টরপন্থী
hardliners,কট্টরপন্থীরা
hardship,কষ্ট
hardships,কষ্ট
harm,ক্ষতি
harmed,ক্ষতিগ্রস্ত
harmful,ক্ষতিকর
harms,ক্ষতিগ্রস্ত
harpy,ডাইনি
harridan,ডাইনি
harried,নিপীড়িত
harrow,হয়রান করা
harsh,কঠোর
harshly,ধমকে
hassle,ঝগড়া
hassled,এই ঝামেলার
hassles,ঝামেলা
haste,ত্বরা
hastily,ঝটিতি
hasty,দ্রুতগতি
hate,ঘৃণা
hated,ঘৃণিত
hateful,ঘৃণ্য
hatefully,ঘৃণিতভাবে
hatefulness,জঘন্যতা
hater,বিদ্বেষী পুরূষ
haters,ঘৃণা
hates,"ঘৃণা করেন,"
hating,ঘৃণা
hatred,ঘৃণা
haughtily,গর্ব সহকারে
haughty,উদ্ধত
haunt,আধার
haunting,গা ছমছমে
havoc,ব্যাপক ধ্বংস
hawkish,কঠোর
haywire,বিক্ষিপ্তচিত্ত
hazard,বিপত্তি
hazardous,বিপজ্জনক
haze,আবছায়া
hazy,অস্পষ্ট
headaches,মাথাব্যাথা
headache,মাথা ব্যাথা
headaches,মাথাব্যাথা
heartbreaker,হৃদয়
heartbreaking,প্রাণঘাতী
heartless,হৃদয়হীন
heathen,ধর্মহীন
heck,নরক
heckle,প্রশ্নবাণে জর্জরিত করা
hectic,অস্থির
hedge,প্রতিবন্ধক
hedonistic,আনন্দবাদী
heedless,অসতর্ক
hefty,প্রবল
hegemony,কর্তৃত্ব
heinous,জঘন্য
hell,জাহান্নাম
helpless,অসহায়
helplessly,অসহায়ভাবে
helplessness,অনুপায়
heresy,বৈধর্ম্য
heretic,পাষণ্ড
heretical,প্রচলিত মতবেরোধী
hesitant,দ্বিধাগ্রস্ত
hideous,অসহ্য
hideously,নৃশংসভবে
hinder,পশ্চাদ্বর্তী
hindrance,অন্তরায়
hiss,হিস্হিস
hissed,হিসহিস ধ্বনি
hoard,ভাণ্ডার
hoax,ধাপ্পাবাজি
hobble,ব্যাহত করা
hogs,হগ
hollow,ফাঁপা
hoodwink,চাল মারা
hooligan,গুণ্ডা
hopeless,আশাহীন
hopelessly,আশাহত ভাবে
hopelessness,আশাহীনতা
horde,বড় দল
horrendous,ভয়ঙ্কর
horrible,ভয়ঙ্কর
horrid,ভয়ানক
horrific,ভয়ঙ্কর
horrified,সন্ত্রাসিত
horrify,আতঙ্কিত করা
horrifying,ভয়াবহ
hostage,জিম্মি
hostile,প্রতিকূল
hostilities,যুদ্ধবিগ্রহ
hostility,শত্রুতা
hothead,উগ্রস্বভাব ব্যক্তি
hothouse,বেশ্যালয়
hubris,ঔদ্ধত্য
huckster,ফেরি করা
hum,গুন্ গুন্
humid,সেঁতসেঁতে
humiliate,খেলো করা
humiliating,অপমানকর
humiliation,নাকাল
humming,গুণ গুণ শব্দ
hung,স্তব্ধ
hurt,ক্ষতি
hurtful,ক্ষতিকর
hurting,আঘাত
hurts,ব্যাথা
hustler,বারবনিতা
hype,প্রতারণা
hypocrisy,ভণ্ডামি
hypocrite,ভণ্ড
hypocrites,মুনাফিকদেরকে
hypocritical,কুটিল
hypocritically,কপটভাবে
hysteria,হিস্টিরিয়া
hysteric,হিস্টরিয়া-সংক্রান্ত
hysterical,হিস্টিরিয়া-গ্রস্ত
idiocy,মূর্খতা
idiot,নির্বোধ
idiotic,আহাম্মক
idiots,ইডিয়টের
idle,অলস
ignoble,নীচ
ignominious,কলঙ্কজনক
ignominiously,কলংকজনকভাবে
ignominy,অপমান
ignorance,অজ্ঞতা
ignorant,অজ্ঞ
ignore,উপেক্ষা করা
illformed,বিকৃত
illegal,অবৈধ
illegally,অবৈধভাবে
illegitimate,অবৈধ
illicit,অবৈধ
illiterate,নিরক্ষর
illness,অসুস্থতা
illogical,অযৌক্তিক
illusion,বিভ্রম
illusions,ভ্রম বা মায়া
illusory,মায়াময়
imaginary,কল্পিত
imbalance,অমিল
imbecile,নির্বোধ
imbroglio,জটিল অবস্থা
immaterial,অশরীরী
immature,অপূর্ণাঙ্গ
imminence,নৈকট্য
immoderate,অমিত
immodest,নির্লজ্জ
immoral,অসৎ
immorality,ব্যভিচার
immorally,অনৈতিক
immovable,স্থাবর
impair,দুর্বল করা
impaired,হত
impasse,কানাগলি
impatience,অস্থিরতা
impatient,অধীর
impatiently,অধৈর্য হয়ে
impeach,অভিযুক্ত করা
impedance,ইম্পিডেন্স
impede,ঠেকান
impediment,অন্তরায়
impending,আসন্ন
impenitent,অননুতাপী
imperfect,অপূর্ণ
imperfection,অসম্পূর্ণতা
imperfections,অসম্পূর্ণতা
imperfectly,অল্পজ্ঞন
imperialist,সাম্রাজ্যবাদী
imperil,বিপদ্গ্রস্ত করা
imperious,স্বেচ্ছাচারী
impermissible,নিষিদ্ধ
impersonal,নৈর্ব্যক্তিক
impertinent,অপ্রাসঙ্গিক
impetuous,বেগবান
impiety,অধার্মিকতা
impinge,আহত করা
impious,অধার্মিক
implacable,নির্দয়
implausible,অকল্পনীয়
implicate,সংশ্লেষ করা
implication,সংশ্লেষ
implode,কেন্দ্রীভূত করা
impolite,অভদ্র
impolitic,অবিজ্ঞ
importunate,নাছোড়বান্দা
importune,অনুরোধ করা
impose,আরোপ করা
imposing,মনোরম
imposition,আরোপ
impossible,অসম্ভব
impossibly,অসম্ভব
impotent,নপুংসক
impoverish,নি: স্ব করা
impoverished,দরিদ্র
impractical,অকার্যকর
imprecate,তাকা
imprecise,যথাযথ নয় এমন
imprecision,অনির্দিষ্টতা
imprison,কয়েদ করা
imprisonment,কারাবাস
improbability,অসম্ভবতা
improbable,অভাবনীয়
improper,অপ্রকৃত
improperly,অতি
impropriety,অন্যায়
imprudence,অদূরদর্শিতা
imprudent,হঠকারী
impudence,নির্লজ্জতা
impudent,লজ্জাহীন
impudently,পুরোপুরি
impugn,সত্যতা অস্বীকার করা
impulsive,আবেগপ্রবণ
impulsively,ঝোঁকের বশে
impunity,মুক্তি
impure,অপবিত্র
impurity,অপবিত্রতা
inability,অক্ষমতা
inaccuracies,সম্প্রচার
inaccuracy,ভ্রম
inaccurate,বেঠিক
inaccurately,ভুলভাবে
inaction,নিষ্ক্রিয়তা
inactive,নিষ্ক্রিয়
inadequacy,অপ্রাচুর্য
inadequate,অপর্যাপ্ত
inadequately,ইচ্ছাকৃত ভাবে
inadvisable,অজ্ঞ
inane,ফাঁকা
inappropriate,অনুপযুক্ত
inappropriately,অযথাযথভাবে
inapt,অযোগ্য
inarticulate,অস্ফুট
inattentive,অমনোযোগী
inaudible,শ্রবণাতীত
incapable,অসমর্থ
incautious,অসতর্ক
incendiary,আগ্নেয়
incense,ধূপ
incessant,নিরবচ্ছিন্ন
incessantly,অহর্নিশ
incite,উদ্দীপ্ত করা
incitement,প্রবর্তনা
incivility,অভদ্রতা
inclement,ঝড়ো
incoherence,শিথিলতা
incoherent,অসংলগ্ন
incommensurate,বেখাপ
incomparable,অনুপম
incompatibility,অসঙ্গতি
incompatible,বেমানান
incompetence,অযোগ্যতা
incompetent,অপদার্থ
incomplete,অসম্পূর্ণ
incomprehensible,ধারণাতীত
incomprehension,উপলব্ধির অভাব
inconceivable,ধারণাতীত
incongruous,বেমানান
inconsequential,তুচ্ছ
inconsiderate,অবিবেচক
inconsistencies,অসঙ্গতি
inconsistency,অসঙ্গতি
inconsistent,অসঙ্গত
inconsolable,অবুঝ
inconstant,পরিবর্তনশীল
inconvenience,অসুবিধা
incorrect,ত্রুটিপূর্ণ
incorrectly,ভুল
incorrigible,সংশোধনাতীত
incorrigibly,শুধরানো
incredulous,বিশ্বাসহীন
inculcate,অভ্যন্তরে স্থাপন করা
indecency,অশ্লীলতা
indecent,অশ্লীল
indecently,অশোভনভাবে
indecision,দ্বিধা
indecisive,অমীমাংসিত
indefensible,অরক্ষণীয়
indelicate,স্থূল
indeterminable,অনির্ণেয়
indeterminate,অনির্ণীত
indifference,অযত্ন
indifferent,উদাসীন
indigent,অভাবী
indignant,অত্যুগ্র
indignantly,ক্রুদ্ধ
indignation,ঘৃণামিশ্রিত ক্রোধ
indignity,অসম্মান
indiscernible,অনির্ণেয়
indiscreet,অদূরদর্শী
indiscreetly,অন্ধভাবে
indiscretion,হঠকারিতা
indiscriminate,বাছবিচারহীন
indiscriminately,অবিশেষে
indistinguishable,অবিভেদ্য
indoctrinate,শিক্ষা দেত্তয়া
indoctrination,মতদীক্ষাদান
indolent,কুড়ে
indulge,আনুকূল্য করা
ineffective,অকার্যকর
ineffectively,ব্যর্থ
ineffectiveness,অক্ষমতা
ineffectual,নিষ্ফল
inefficacy,নিষ্ফলতা
inefficiency,অদক্ষতা
inefficient,অদক্ষ
inelegance,অশোভনতা
inelegant,অসুন্দর
ineligible,অযোগ্য
inept,অদক্ষ
ineptitude,অনুপযুক্ততা
inequalities,অসাম্য
inequality,অসাম্য
inequitable,অন্যায়
inequities,স্বরূপ
inescapable,অবশ্যম্ভাবী
inescapably,অনেকটা সে-কারণেই
inessential,অদরকারী
inevitable,অনিবার্য
inevitably,অবশ্যম্ভাবীরূপে
inexcusable,অমার্জনীয়
inexorable,অনিবার্য
inexorably,জীবনে নিম্নমুখী গতি অপ্রতিরোধ্য
inexperience,অনভিজ্ঞতা
inexperienced,অনভিজ্ঞ
inexpert,আনাড়ি
inexpiable,অমার্জনীয়
inextricable,মোক্ষম
inextricably,ওতপ্রোতভাবে
infamous,কুখ্যাত
infamously,জঘন্যভাবে
infamy,অখ্যাতি
infected,সংক্রমিত
infection,সংক্রমণ
infections,সংক্রমণ
inferior,নিকৃষ্ট
inferiority,কমি
infernal,নারকী
infest,উত্ত্যক্ত করা
infested,ভরা
infidel,অবিশ্বাসী
infidels,কাফের
infiltrator,অনুপ্রবেশকারী
infiltrators,অনুপ্রবেশকারীরা
infirm,দুর্বল
inflame,উত্তপ্ত করা
inflammation,প্রদাহ
inflammatory,প্রদাহী
inflated,স্ফীত
inflationary,মুদ্রাস্ফীতিজনিত
inflexible,অনমনীয়
inflict,হানা
infraction,ব্যত্যয়
infringe,লঙ্ঘন করা
infringement,লঙ্ঘন
infringements,বিধিলঙ্ঘন
infuriate,ক্ষিপ্ত
infuriated,প্রকুপিত
infuriatingly,মাথা-গরম-করে-দেওয়া উদাসীনতা
inglorious,গৌরবহীন
ingrate,অকৃতজ্ঞ
ingratitude,অকৃতজ্ঞতা
inhibit,দমন করা
inhibition,নিষেধ
inhospitable,আতিথেয়তাশূন্য
inhuman,অমানুষ
inhumane,নিষ্ঠুর
inhumanity,নিষ্ঠুরতা
inimical,ক্ষতিকর
iniquitous,অন্যায়
iniquity,অপরাধ
injudicious,অবিমৃষ্য
injure,আঘাত করা
injurious,ক্ষতিকর
injury,আঘাত
injustice,অবিচার
injustices,অবিচার
innuendo,কটাক্ষ
inoperable,অস্ত্রোপচারের উপযোগী নয় এমন
inopportune,অপ্রাপ্তকাল
inordinate,অতিরিক্ত
inordinately,নিপীড়িত
insane,উন্মাদ
insanely,পাগলের মত
insanity,বাতুলতা
insatiable,অতৃপ্ত
