pollyannaism,pollyannaism
pride,গর্ব
positive,ধনাত্মক
feelings,অনুভূতি
peace,শান্তি
of,এর
mind,মন
peaceful,শান্তিপূর্ণ
words,শব্দ
petrichor,petrichor
philocalist,philocalist
positive,ধনাত্মক
emotions,আবেগ
positive,ধনাত্মক
feelings,অনুভূতি
positive,ধনাত্মক
vocabulary,শব্দতালিকা
power,ক্ষমতা
words,শব্দ
powerful,ক্ষমতাশালী
positive,ধনাত্মক
words,শব্দ
powerful,ক্ষমতাশালী
words,শব্দ
poweron,poweron
powerup,চালু কর
protect,রক্ষা করা
politeness,ভদ্রতা
pour,ঢালা
your,তোমার
love,ভালবাসা
powerful,ক্ষমতাশালী
possibility,সম্ভাবনা
privilege,সুবিধা
propitiousquality,propitiousquality
quiet,শান্ত
quietness,নিস্তব্ধতা
quaint,উদ্ভট
quiescent,স্থির
queenly,রানীসুলভ
quickening,জীবনদায়ক
quiddity,সূক্ষ্মতা
quiescent,স্থির
mind,মন
quality,গুণ
wordsrespect,wordsrespect
radiant,প্রভাশালী
ready,প্রস্তুত
readiness,প্রস্তুতি
real,বাস্তব
reality,বাস্তবতা
reason,কারণ
recommend,সুপারিশ করা
refresh,সতেজ করা
refreshed,ঝরঝরে
relax,শিথিল করা
relaxed,নিরুদ্বেগ
relief,মুক্তি
relieve,উপশম করা
relieved,অব্যাহতিপ্রাপ্ত
remarkable,অসাধারণ
rationality,যৌক্তিকতা
recognition,স্বীকার
relationships,সম্পর্ক
reliable,বিশ্বাসযোগ্য
reliability,বিশ্বাসযোগ্যতা
religion,ধর্ম
resourcefulness,উর্বর মস্তিষ্ক
responsibility,দায়িত্ব
righteousness,ন্যায়পরায়ণতা
risktaking,ঝুঁকি গ্রহণ
romance,রমন্যাস
revelation,উদ্ঘাটন
revived,পুনর্জাগরিত
restore,প্রত্যর্পণ করা
restored,পুনরুদ্ধার
rest,বিশ্রাম
rested,বিশ্রান্ত
renew,পুনরারম্ভ করা
renewed,নূতন
rejuvenate,পুনর্যৌবন লাভ করা
rejuvenated,উজ্জীবিত
rapture,পরমানন্দ
rapturous,উল্লাসপূর্ণ
resilient,স্থিতিস্থাপক
resilience,স্থিতিস্থাপকতা
reverence,নিষ্ঠা
ripe,পাকা
reborn,নবজন্ম
relatedness,সম্পর্কিততা
rasasvada,rasasvada
repose,বিশ্রাম
rosiness,লালিমা
relent,নরম হত্তয়া
renowned,প্রখ্যাত
respected,সম্মানিত
rainbow,রামধনু
romantic,রোমান্টিক
relent,নরম হত্তয়া
renowned,প্রখ্যাত
radiate,অংশুশিরা
recognize,চেনা
releasing,মুক্তি
rightfulscope,rightfulscope
smile,হাসি
smiling,স্মিত
soulmate,প্রাণের
soul,আত্মা
soulful,গভীর বা উচ্চ ভাবপূর্ন
sacred,পবিত্র
safe,নিরাপদ
safety,নিরাপত্তা
secure,নিরাপদ
secured,সুরক্ষিত
security,নিরাপত্তা
sustain,বজায় রাখা
sustained,টেকসই
save,রক্ষা
savings,জমা
simple,সহজ
simplify,সহজতর করা
selflessness,পরার্থপরতা
selfesteem,আত্মসম্মান
service,সেবা
simplicity,সরলতা
sincerity,আন্তরিকতা
skill,দক্ষতা
skilled,দক্ষ
spirit,আত্মা
serene,নির্মেঘ
serenity,প্রশান্তি
stability,স্থায়িত্ব
strength,শক্তি
style,শৈলী
systematization,systematization
selflove,আত্বভালবাসা
strive,সংগ্রাম করা
salvation,উদ্ধার
selfrespect,আত্মমর্যাদা
selfforgiveness,selfforgiveness
serve,পরিবেশন করা
sympathetic,সহানুভূতিশীল
selfcompassion,selfcompassion
selfkindness,selfkindness
spellbound,হতবাক
stimulated,শাণিত
stimulating,উষ্ণবীর্য
stimulation,উত্তেজন
satisfied,সন্তুষ্ট
still,এখনো
surprised,বিস্মিত
sleep,ঘুম
sexual,যৌন
expression,অভিব্যক্তি
shelter,আশ্রয়
selfexpression,selfexpression
space,স্থান
spacious,প্রশস্ত
spontaneity,স্বতঃস্ফূর্ততা
spontaneous,স্বতঃস্ফূর্ত
sunshine,রোদ
spark,স্ফুলিঙ্গ
sparkle,ঝক্ঝক্
sparkles,কিরণ
sweet,মিষ্টি
sweetness,মাধুরী
support,সমর্থন
supporting,সমর্থন
supported,সমর্থিত
sexy,সেক্সি
sexiness,রুমে যৌন
supreme,সর্বোচ্চ
succulent,সরস
sweetheart,প্রণয়ী
study,অধ্যয়ন
studious,অধ্যয়নশীল
savour,গন্ধ
savouring,স্বাদে মজা পাওয়া
sufficient,যথেষ্ট
stupendous,বিস্ময়কর
swag,চোরাই মাল
swaggy,swaggy
splendid,চমত্কার
smart,স্মার্ট
spectacular,দর্শনীয়
special,বিশেষ
serendipity,লাভজনক
synergy,Synergy
shine,চকমক
shining,জ্বলজ্বলে
start,শুরু
steadfastness,দৃঢ়তা
sublime,মহিমান্বিত
sunniness,sunniness
superpower,পরাশক্তি
spunky,তেজী
shapeshifting,shapeshifting
virtuoso,শিল্পাদিকৌশলে দক্ষ
soulstretching,soulstretching
strong,শক্তিশালী
words,শব্দ
sacred,পবিত্র
space,স্থান
shift,পরিবর্তন
in,মধ্যে
focus,কেন্দ্রবিন্দু
show,প্রদর্শনী
up,আপ
more,অধিক
present,বর্তমান
stellar,নাক্ষত্রিক
supercharge,সুপারচার্জ
supercharged,supercharged
symptoms,লক্ষণ
of,এর
greatness,মহিমা
synchronicitytrue,synchronicitytrue
trust,আস্থা
trusting,বিশ্বাস
tact,কৌশলের সূক্ষ্মতা
teach,শেখান
teachable,শিক্ষাগ্রহণে ইচ্ছুক
team,টীম
thankful,কৃতজ্ঞ
thank,ধন্যবাদ
thankyou,ধন্যবাদ
thankfulness,কৃতজ্ঞতা
therapy,থেরাপি
time,সময়
teamwork,দলবদ্ধভাবে সম্পাদিত কর্ম
timeliness,যথাকালীনতা
tolerance,সহ্য
tradition,ঐতিহ্য
tranquil,শান্ত
tranquility,প্রশান্তি
truth,সত্য
truthfulness,সত্যবাদিতা
tender,কোমল
thrilled,শিহরিত
touch,স্পর্শ
touched,ছোঁয়া
tickled,সুড়সুড়ি
to,থেকে
matter,ব্যাপার
to,থেকে
know,জানা
to,থেকে
be,থাকা
known,পরিচিত
to,থেকে
be,থাকা
seen,দেখা
transformative,রূপান্তরিত
transformation,রুপান্তর
transform,রুপান্তর
triumph,জয়জয়কার
thrive,উন্নতিলাভ করা
thriving,উঠতি
tenacity,তানতা
to,থেকে
be,থাকা
transparent,স্বচ্ছ
temul,temul
tenderly,সদয়ভাবে
tidsoptimist,tidsoptimist
time,সময়
optimist,আশাবাদী
to,থেকে
let,দিন
gounification,gounification
unique,অনন্য
uplift,উন্নয়ন
ultimate,চূড়ান্ত
unconditional,শর্তহীন
upgrade,আপগ্রেড
useful,দরকারী
userfriendly,userfriendly
unity,ঐক্য
understand,বোঝা
understanding,বোধশক্তি
understood,বোঝা
unification,একীকরণ
of,এর
mind,মন
up,আপ
upskill,upskill
unbelievable,অবিশ্বাস্য
unflappable,উদ্বেগহীন
unreal,অবাস্তব
utter,কহা
amazement,আশ্চর্য
unabashed,অলজ্জিত
unabashed,অলজ্জিত
pleasure,পরিতোষ
unbearably,অসহনীয়রূপে
cute,চতুর
unhurry,unhurry
unbelievable,অবিশ্বাস্য
unflappable,উদ্বেগহীন
unreal,অবাস্তব
utter,কহা
amazement,আশ্চর্য
upleveledvitality,upleveledvitality
value,মান
values,মান
valuable,দামি
virtuous,ধর্মচারী
valid,বৈধ
verify,যাচাই
very,খুব
viable,টেকসই
virtue,পুণ্য
victory,বিজয়
victorious,বিজয়ী
variety,বৈচিত্র্য
vulnerability,দুর্বলতার
vulnerable,জেয়
vibrant,অনুনাদশীল
vow,ব্রত
vim,তেজ
vigor,তেজ
veneration,শ্রদ্ধা
vocabuleverage,vocabuleverage
versatility,বহুমুখতা
ubuntuworth,ubuntuworth
worthy,সুযোগ্য
worthiness,অর্হণ
wealth,ধন
warm,উষ্ণ
warmth,উত্তাপ
welcome,স্বাগত
will,ইচ্ছাশক্তি
willing,রাজী
willingness,সম্মতি
wisdom,জ্ঞান
wise,জ্ঞানী
won,ওঁন
wonderful,বিস্ময়কর
wellbeing,সুস্থতা
wholeheartedness,wholeheartedness
wow,কি দারুন
wonder,আশ্চর্য
water,পানি
well,ভাল
wellness,অনাময
welfare,কল্যাণ
whole,গোটা
wonderworking,wonderworking
win,জয়
winnable,winnable
winning,জয়লাভ
walwalun,walwalun
web,ওয়েব
of,এর
relatedness,সম্পর্কিততা
wholeheartedly,মনপ্রাণ
willing,রাজী
to,থেকে
learn,শেখা
wondrous,বিস্ময়কর
worldbuilder,worldbuilder
worthiness,অর্হণ
to,থেকে
take,গ্রহণ করা
up,আপ
spacexo,spacexo
xray,এক্সরে
vision,দৃষ্টি
xenodochial,xenodochial
xfactor,এক্স ফ্যাক্টর
xenophile,xenophile
xenialyes,xenialyes
youth,যৌবন
youthful,তরূণ
young,তরুণ
young,তরুণ
atheart,অন্তরে
yippee,হুরেই
yay,হ্যাঁ
yearn,আকুল আকাঙ্ক্ষা
yea,হাঁ
yeah,হাঁ
yummy,মুখরোচক
yen,ইয়েন
yesability,yesability
yugen,yugen
yaraana,yaraana
yesable,yesable
you,আপনি
are,হয়
loved,পছন্দ
your,তোমার
TRUE,সত্য
valuezealous,valuezealous
zeal,চাড়
zest,রূচি
zesty,প্রাণবন্ত
zestful,চাঙ্গায়নী
zippy,ফ্যাস্
zing,উচ্ছলতা
zappy,zappy
zany,মূর্খ লোক
zest,রূচি
for,জন্য
life,জীবন
